id_unico,type,pais
Movie_58857,Película,United Kingdom
Movie_39486,Película,United States
Movie_44603,Película,United States
Movie_43930,Película,Australia
Movie_45162,Película,United States
Movie_35558,Película,United States
Movie_37821,Película,United States
Movie_59421,Película,South Korea
Movie_52274,Película,Belgium
Movie_52274,Película,Spain
Movie_16290,Película,United States
Movie_34751,Película,South Africa
Movie_34751,Película,United States
Movie_47407,Película,United States
Movie_41515,Película,United States
Movie_41515,Película,New Zealand
Movie_49953,Película,Belgium
Movie_49953,Película,France
Movie_49953,Película,Italy
Movie_49953,Película,United States
Movie_36865,Película,Japan
Movie_35056,Película,United States
Movie_103450,Película,Japan
Movie_44040,Película,United States
Movie_41180,Película,United States
Movie_72013,Película,Japan
Movie_34806,Película,United States
Movie_50087,Película,Japan
Movie_44945,Película,United States
Movie_37757,Película,United States
Movie_46332,Película,France
Movie_45657,Película,United Kingdom
Movie_45657,Película,United States
Movie_43956,Película,United States
Movie_50542,Película,China
Movie_39013,Película,Netherlands
Movie_39013,Película,United States
Movie_43933,Película,United Kingdom
Movie_45284,Película,France
Movie_45284,Película,Japan
Movie_44092,Película,China
Movie_44092,Película,Hong Kong
Movie_44092,Película,Taiwan
Movie_49852,Película,United Kingdom
Movie_49852,Película,Hungary
Movie_45132,Película,United States
Movie_43919,Película,United States
Movie_63700,Película,Canada
Movie_51256,Película,United States
Movie_39681,Película,Canada
Movie_38579,Película,United States
Movie_27585,Película,United States
Movie_44639,Película,United States
Movie_26390,Película,United States
Movie_89636,Película,Japan
Movie_22972,Película,France
Movie_22972,Película,Japan
Movie_22972,Película,Spain
Movie_22972,Película,United Kingdom
Movie_22972,Película,United States
Movie_50037,Película,Canada
Movie_33602,Película,United States
Movie_43552,Película,United States
Movie_56743,Película,United States
Movie_56832,Película,Japan
Movie_39691,Película,United States
Movie_39691,Película,Australia
Movie_41210,Película,United States
Movie_50388,Película,Japan
Movie_12819,Película,India
Movie_12819,Película,United States
Movie_38357,Película,United States
Movie_49787,Película,Australia
Movie_30061,Película,United States
Movie_46420,Película,Australia
Movie_41215,Película,United Kingdom
Movie_41215,Película,Germany
Movie_42194,Película,Japan
Movie_42194,Película,United States
Movie_38363,Película,United States
Movie_38363,Película,United Arab Emirates
Movie_86184,Película,Japan
Movie_43923,Película,United States
Movie_183392,Película,United States
Movie_37414,Película,Canada
Movie_37414,Película,Sweden
Movie_37414,Película,United Kingdom
Movie_37414,Película,United States
Movie_52208,Película,United States
Movie_48838,Película,United Kingdom
Movie_48838,Película,United States
Movie_35690,Película,United States
Movie_45958,Película,Mexico
Movie_45958,Película,Spain
Movie_45958,Película,United States
Movie_37034,Película,China
Movie_37034,Película,Hong Kong
Movie_37034,Película,United States
Movie_54551,Película,United States
Movie_46503,Película,United States
Movie_50475,Película,South Korea
Movie_60695,Película,United States
Movie_50135,Película,Germany
Movie_52333,Película,Brazil
Movie_117352,Película,Japan
Movie_40080,Película,Canada
Movie_40080,Película,United States
Movie_44244,Película,United States
Movie_8952,Película,France
Movie_8952,Película,United States
Movie_101669,Película,United States
Movie_36956,Película,Italy
Movie_36956,Película,Switzerland
Movie_32206,Película,United States
Movie_38303,Película,United States
Movie_48395,Película,Finland
Movie_48395,Película,France
Movie_48395,Película,Norway
Movie_48395,Película,Sweden
Movie_47909,Película,France
Movie_47909,Película,South Korea
Movie_59468,Película,Spain
Movie_59468,Película,United States
Movie_38073,Película,United States
Movie_270413,Película,Japan
Movie_278427,Película,United States
Movie_48034,Película,France
Movie_37495,Película,France
Movie_37495,Película,United Kingdom
Movie_47854,Película,Hong Kong
Movie_47854,Película,China
Movie_38368,Película,France
Movie_38368,Película,Germany
Movie_38368,Película,Spain
Movie_38368,Película,Thailand
Movie_38368,Película,United Kingdom
Movie_38368,Película,United States
Movie_44982,Película,United States
Movie_38778,Película,United States
Movie_23830,Película,France
Movie_23830,Película,United States
Movie_74658,Película,Italy
Movie_57361,Película,South Korea
Movie_12685,Película,Canada
Movie_12685,Película,Germany
Movie_12685,Película,United States
Movie_43263,Película,United States
Movie_44147,Película,France
Movie_44147,Película,United Kingdom
Movie_33473,Película,United States
Movie_29920,Película,Denmark
Movie_29920,Película,Sweden
Movie_29920,Película,Germany
Movie_41411,Película,France
Movie_41411,Película,Germany
Movie_41411,Película,Hungary
Movie_37905,Película,France
Movie_37905,Película,United States
Movie_41505,Película,United States
Movie_41110,Película,Italy
Movie_45202,Película,South Korea
Movie_48186,Película,United States
Movie_48186,Película,Canada
Movie_70000,Película,Japan
Movie_47904,Película,Algeria
